   	       	                                                          fitness                                                          	              size             
   	       	---------------------------------------------------------------------------------------------------------------------------	-------------------------------
gen	time   	avg                        	max                        	min                        	std                        	avg    	max	min	std    
0  	9.06542	[ 0.03609017  3.04950495]  	[  0.11494253  11.        ]	[ 0.  0.]                  	[ 0.02220566  2.08424661]  	2.40594	9  	1  	1.93549
1  	11.7117	[ 0.04431302  3.87128713]  	[  0.14285714  11.        ]	[ 0.  0.]                  	[ 0.03000187  2.837735  ]  	3.50495	13 	1  	2.61989
2  	17.5516	[ 0.05722461  5.04950495]  	[  0.14444444  13.        ]	[ 0.  0.]                  	[ 0.03590366  3.32222113]  	5.09901	13 	1  	2.83369
3  	23.7675	[ 0.06429477  5.71287129]  	[  0.17061611  18.        ]	[ 0.  0.]                  	[ 0.0413536   3.89804885]  	6.64356	20 	1  	3.34067
4  	34.5653	[ 0.0857522   7.73267327]  	[  0.19047619  20.        ]	[ 0.  0.]                  	[ 0.04281233  4.06358153]  	9.07921	22 	1  	3.22639
5  	34.7586	[ 0.09893548  8.92079208]  	[  0.19047619  20.        ]	[ 0.  0.]                  	[ 0.04450371  4.21144872]  	9.9703 	21 	1  	3.37274
6  	35.481 	[ 0.10704575  9.73267327]  	[  0.21004566  23.        ]	[ 0.  0.]                  	[ 0.04645772  4.7217447 ]  	10.3762	19 	1  	3.19607
7  	35.0347	[  0.11447816  10.7029703 ]	[  0.21004566  23.        ]	[ 0.  0.]                  	[ 0.05042473  5.44376208]  	10.3366	20 	1  	3.16315
8  	35.8791	[  0.1212238  11.7029703]  	[  0.24454148  28.        ]	[ 0.01081081  1.        ]  	[ 0.05401738  6.05019361]  	10.8614	22 	1  	4.1003 
9  	40.2943	[  0.13543241  13.76237624]	[  0.29387755  36.        ]	[ 0.  0.]                  	[ 0.05964463  7.16170857]  	11.7624	20 	1  	4.25929
10 	44.8753	[  0.15398297  16.16831683]	[  0.29387755  36.        ]	[ 0.01298701  1.        ]  	[ 0.06456039  8.16060242]  	12.9505	24 	1  	4.29224
11 	47.7272	[  0.16019029  17.43564356]	[  0.29387755  36.        ]	[ 0.0125  1.    ]          	[ 0.06843503  8.56127112]  	14.0792	24 	1  	4.49352
12 	52.4262	[  0.18693405  20.82178218]	[  0.2962963  36.       ]  	[ 0.01298701  1.        ]  	[ 0.05359411  6.84394079]  	15.7327	26 	6  	4.50059
13 	58.1101	[  0.19268395  21.76237624]	[  0.2962963  36.       ]  	[ 0.01257862  1.        ]  	[ 0.06424684  8.08145232]  	16.505 	26 	6  	4.24643
14 	54.9294	[  0.19577108  21.96039604]	[  0.2962963  36.       ]  	[ 0.02580645  2.        ]  	[ 0.06852257  8.87417077]  	17.0693	31 	4  	4.99556
15 	56.4268	[  0.19005727  21.47524752]	[  0.2962963  36.       ]  	[ 0.  0.]                  	[ 0.07610845  9.66938013]  	17.604 	35 	6  	5.11855
16 	59.253 	[  0.20450008  23.48514851]	[  0.2962963  36.       ]  	[ 0.01197605  1.        ]  	[ 0.0693662   8.95932929]  	18.5644	35 	6  	5.79077
17 	57.1086	[  0.2093159   23.89108911]	[  0.2962963  36.       ]  	[ 0.01360544  1.        ]  	[ 0.0649182  8.4699831]    	18.2178	37 	1  	6.51822
18 	57.4377	[  0.20134374  23.01980198]	[  0.2962963  36.       ]  	[ 0.01257862  1.        ]  	[  0.07855797  10.12689801]	19.0099	36 	1  	7.10807
19 	57.6952	[  0.19726151  22.58415842]	[  0.2962963  36.       ]  	[ 0.  0.]                  	[  0.0798858   10.09780618]	19.5248	40 	1  	7.8735 
20 	58.3983	[  0.23376124  27.28712871]	[  0.2962963  36.       ]  	[ 0.02247191  2.        ]  	[ 0.06505824  8.57042651]  	20.396 	40 	6  	7.66641
21 	51.2713	[  0.22041053  25.72277228]	[  0.2962963  36.       ]  	[ 0.  0.]                  	[  0.08051268  10.34754365]	18.7327	40 	1  	8.1967 
22 	49.6319	[  0.21658036  25.16831683]	[  0.2962963  36.       ]  	[ 0.  0.]                  	[ 0.07753891  9.99511693]  	18.3861	40 	6  	7.39544
23 	48.6415	[  0.22430096  26.20792079]	[  0.29875519  36.        ]	[ 0.  0.]                  	[ 0.07610477  9.70180838]  	18.297 	40 	3  	8.29356
24 	50.9463	[  0.23300721  27.32673267]	[  0.29875519  36.        ]	[ 0.01212121  1.        ]  	[ 0.07183086  9.3259023 ]  	18.5644	40 	5  	8.0879 
25 	45.5208	[  0.22323513  26.07920792]	[  0.29875519  36.        ]	[ 0.  0.]                  	[ 0.07563148  9.88516557]  	17.7525	37 	5  	6.77562
26 	44.7409	[  0.23168589  27.12871287]	[  0.29875519  36.        ]	[ 0.  0.]                  	[ 0.07381784  9.69910006]  	17.0792	37 	5  	6.28165
27 	49.1695	[  0.23260869  27.26732673]	[  0.29875519  36.        ]	[ 0.01204819  1.        ]  	[ 0.07599632  9.88737678]  	17.9505	37 	6  	5.67847
28 	48.4069	[  0.22080421  25.7029703 ]	[  0.29875519  36.        ]	[ 0.01273885  1.        ]  	[  0.07918159  10.30288295]	17.2079	29 	1  	4.82017
29 	54.7836	[  0.22531726  26.37623762]	[  0.3  36. ]              	[ 0.01204819  1.        ]  	[  0.07959832  10.28875334]	18.2574	29 	7  	4.57209
30 	58.8242	[  0.24068476  28.26732673]	[  0.3  36. ]              	[ 0.01204819  1.        ]  	[ 0.06754173  8.88974388]  	19.1782	36 	1  	5.00969
31 	60.3353	[  0.24306669  28.58415842]	[  0.3  36. ]              	[ 0.01176471  1.        ]  	[ 0.07048404  9.28777257]  	20.1782	40 	10 	5.38497
32 	55.0241	[  0.23620362  27.65346535]	[  0.3  36. ]              	[ 0.  0.]                  	[ 0.06834581  8.74550594]  	19.6832	34 	6  	5.55607
33 	59.7957	[  0.22965427  26.81188119]	[  0.30125523  36.        ]	[ 0.01282051  1.        ]  	[ 0.07344897  9.58413796]  	20.6238	38 	6  	6.15292
34 	54.5277	[  0.23202547  27.17821782]	[  0.30125523  36.        ]	[ 0.01290323  1.        ]  	[ 0.07151268  9.25801343]  	20.901 	40 	7  	6.36125
35 	56.1496	[  0.24229172  28.5049505 ]	[  0.30125523  36.        ]	[ 0.01265823  1.        ]  	[ 0.07200356  9.27641934]  	20.5743	38 	1  	6.3812 
36 	49.08  	[  0.23745795  27.87128713]	[  0.30125523  36.        ]	[ 0.01169591  1.        ]  	[ 0.07479093  9.58925075]  	20.802 	37 	6  	4.87064
