   	       	                                                         fitness                                                         	              size              
   	       	-------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                      	max                        	min                      	std                      	avg    	max	min	std     
0  	7.49436	[0.02565904 3.41584158]  	[ 0.18300654 28.        ]  	[0. 0.]                  	[0.03638093 5.25256623]  	2.56436	8  	1  	2.06535 
1  	9.40684	[0.03624186 4.92079208]  	[ 0.18300654 28.        ]  	[0. 0.]                  	[0.0460631  6.67592567]  	3.83168	14 	1  	2.75059 
2  	8.60238	[0.06035445 8.35643564]  	[ 0.18300654 28.        ]  	[0. 0.]                  	[0.05371987 7.9311195 ]  	3.71287	12 	1  	2.93944 
3  	9.86891	[0.07080287 9.9009901 ]  	[ 0.22222222 33.        ]  	[0. 0.]                  	[0.06156391 9.16029416]  	4.25743	15 	1  	3.40254 
4  	12.908 	[ 0.08697195 12.45544554]	[ 0.24422442 37.        ]  	[0. 0.]                  	[ 0.07360298 11.11819911]	5.81188	17 	1  	3.78824 
5  	12.5139	[ 0.13053136 19.27722772]	[ 0.36458333 70.        ]  	[0. 0.]                  	[ 0.07502657 12.16969033]	6.84158	17 	1  	3.40859 
6  	14.9736	[ 0.15019033 23.10891089]	[ 0.40806045 81.        ]  	[0. 0.]                  	[ 0.09071786 16.06539913]	7.92079	15 	1  	2.89993 
7  	18.815 	[ 0.20083231 33.02970297]	[ 0.41726619 87.        ]  	[0. 0.]                  	[ 0.10404013 20.73092846]	8.9604 	20 	2  	3.13372 
8  	27.1677	[ 0.24736383 43.25742574]	[ 0.41726619 87.        ]  	[0. 0.]                  	[ 0.11555077 24.13766354]	10.3069	17 	2  	3.10778 
9  	32.7027	[ 0.2818432  51.42574257]	[ 0.42647059 87.        ]  	[0. 0.]                  	[ 0.12329689 26.00888901]	12.0792	20 	1  	3.26604 
10 	35.8207	[ 0.33226864 61.98019802]	[ 0.42995169 89.        ]  	[0. 0.]                  	[ 0.08975962 20.91802965]	13.1881	23 	8  	2.96084 
11 	39.0935	[ 0.35066893 67.78217822]	[ 0.43645084 91.        ]  	[0.00819672 1.        ]  	[ 0.10263141 22.92199599]	13.604 	24 	1  	3.53225 
12 	41.7809	[ 0.37228183 73.88118812]	[ 0.44497608 93.        ]  	[0.00833333 1.        ]  	[ 0.10409442 22.84310981]	14.5149	24 	1  	3.99161 
13 	44.1249	[ 0.40028181 81.55445545]	[ 0.44497608 93.        ]  	[0.0234375 3.       ]    	[ 0.07857529 17.82948678]	15.5149	25 	4  	3.92911 
14 	45.5196	[ 0.39464214 80.1980198 ]	[ 0.44497608 93.        ]  	[0. 0.]                  	[ 0.0906134  19.97573766]	15.8317	30 	1  	4.47893 
15 	48.6498	[ 0.38287494 77.23762376]	[ 0.44607843 93.        ]  	[0.00806452 1.        ]  	[ 0.10306621 23.43017793]	16.2772	30 	1  	4.68856 
16 	56.6306	[ 0.39931672 81.42574257]	[ 0.44717445 93.        ]  	[0. 0.]                  	[ 0.09042151 20.1545251 ]	18.2178	31 	3  	5.88269 
17 	62.061 	[ 0.37970518 77.        ]	[ 0.45365854 93.        ]  	[0. 0.]                  	[ 0.12058343 26.28593721]	19.297 	38 	4  	6.80644 
18 	71.9787	[ 0.39435526 79.41584158]	[ 0.45365854 93.        ]  	[0.01520913 2.        ]  	[ 0.09879864 22.24715682]	21.7723	38 	5  	7.33752 
19 	74.7064	[ 0.41205029 83.34653465]	[ 0.45365854 93.        ]  	[0.0625 8.    ]          	[ 0.06921396 16.76892201]	22.4356	32 	2  	7.36383 
20 	84.2898	[ 0.41658711 84.05940594]	[ 0.46419753 94.        ]  	[0.02316602 3.        ]  	[ 0.08097619 18.50331615]	24.7327	39 	6  	7.09049 
21 	94.6429	[ 0.41470914 83.42574257]	[ 0.46419753 95.        ]  	[0. 0.]                  	[ 0.0885995  19.43322995]	27.7228	36 	7  	5.63426 
22 	101.87 	[ 0.4140701  83.01980198]	[ 0.46419753 94.        ]  	[0.00819672 1.        ]  	[ 0.08433332 19.25852271]	28.9208	34 	6  	4.50013 
23 	110.39 	[ 0.42092409 84.59405941]	[ 0.47087379 97.        ]  	[0.008 1.   ]            	[ 0.07994529 18.28551243]	30.297 	36 	12 	3.35239 
24 	113.911	[ 0.43405   87.3960396]  	[ 0.47087379 97.        ]  	[ 0.13013699 19.        ]	[ 0.05992892 14.31822159]	30.802 	35 	18 	2.54473 
25 	121.692	[ 0.41013393 81.81188119]	[ 0.47201946 97.        ]  	[0.01639344 2.        ]  	[ 0.10338295 23.32877918]	31.5545	40 	5  	4.72925 
26 	122.58 	[ 0.43214596 86.72277228]	[ 0.47201946 97.        ]  	[0.01619433 2.        ]  	[ 0.07769645 17.3611144 ]	31.495 	39 	6  	4.21131 
27 	120.92 	[ 0.43396597 87.71287129]	[ 0.47342995 98.        ]  	[0. 0.]                  	[ 0.08557317 18.43336226]	31.8317	36 	4  	4.47671 
28 	126.776	[ 0.42938774 86.62376238]	[ 0.47457627 98.        ]  	[0. 0.]                  	[ 0.08123483 18.61642599]	32.5941	36 	18 	2.31302 
29 	125.223	[ 0.43205832 87.81188119]	[ 0.47457627 98.        ]  	[0.02390438 3.        ]  	[ 0.09093013 20.31763262]	32.5446	39 	9  	3.58082 
30 	124.277	[ 0.44722556 90.97029703]	[ 0.47457627 98.        ]  	[0.02362205 3.        ]  	[ 0.05772483 13.61235275]	32.5347	39 	3  	4.23695 
31 	121.958	[ 0.43216259 87.79207921]	[ 0.47572816 98.        ]  	[0. 0.]                  	[ 0.09440414 20.81141958]	32.3663	39 	1  	5.07122 
32 	124.452	[ 0.44091801 89.7029703 ]	[ 0.47572816 98.        ]  	[0.01632653 2.        ]  	[ 0.07570411 17.08484625]	32.703 	39 	8  	3.46851 
33 	126.727	[ 0.40295814 81.41584158]	[ 0.47572816 98.        ]  	[0.00819672 1.        ]  	[ 0.13156515 28.47937149]	32.5446	40 	5  	4.39515 
34 	130.472	[ 0.42347019 85.83168317]	[ 0.47572816 98.        ]  	[0. 0.]                  	[ 0.11096264 24.16653004]	32.7129	40 	7  	4.13231 
35 	133.938	[ 0.43031511 87.48514851]	[ 0.47572816 98.        ]  	[0. 0.]                  	[ 0.10073883 22.30020817]	33.2673	40 	18 	2.41649 
36 	129.558	[ 0.44170336 89.93069307]	[ 0.47572816 98.        ]  	[0. 0.]                  	[ 0.08226589 18.43170827]	33.3069	40 	18 	2.82402 
37 	124.856	[ 0.43791964 89.06930693]	[ 0.47572816 98.        ]  	[0.00826446 1.        ]  	[ 0.08471396 19.31667183]	33.1485	40 	8  	2.90573 
38 	117.844	[ 0.43305139 88.40594059]	[ 0.47572816 98.        ]  	[0. 0.]                  	[ 0.09781265 21.35423914]	32.0495	37 	4  	4.8673  
39 	118.594	[ 0.45258886 92.38613861]	[ 0.47572816 98.        ]  	[ 0.18181818 27.        ]	[ 0.0423205  10.72885468]	32.7228	38 	18 	2.68151 
40 	115.79 	[ 0.44208302 89.76237624]	[ 0.47688564 98.        ]  	[0.06741573 9.        ]  	[ 0.06951982 16.53448153]	32.5446	38 	18 	3.33456 
41 	113.353	[ 0.43853055 89.52475248]	[ 0.47688564 98.        ]  	[0.00823045 1.        ]  	[ 0.09304305 20.36673373]	32.3366	40 	8  	4.2897  
42 	113.549	[ 0.42951625 87.5049505 ]	[ 0.47688564 98.        ]  	[0. 0.]                  	[ 0.10684804 23.04649788]	31.8713	37 	1  	5.62291 
43 	117.726	[ 0.42500299 86.06930693]	[ 0.47688564 98.        ]  	[0. 0.]                  	[ 0.10151313 22.65813841]	32.3069	40 	18 	3.3853  
