   	       	                                                          fitness                                                          	              size              
   	       	---------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                          	max                          	min                          	std                        	avg    	max	min	std     
0  	1.82307	[   0.56482261  107.84158416]	[   0.71204188  177.        ]	[  0.3986711  60.       ]    	[  0.06638535  20.55118347]	2.51485	8  	1  	1.87539 
1  	2.53157	[   0.57627565  108.84158416]	[   0.71204188  149.        ]	[  0.39130435  63.        ]  	[  0.0644453   16.94179475]	4.12871	14 	1  	2.80968 
2  	2.82252	[   0.614449    117.89108911]	[   0.73544974  148.        ]	[  0.47428571  83.        ]  	[  0.06675497  16.05615208]	5      	14 	1  	3.36846 
3  	3.03232	[   0.61283834  117.4950495 ]	[   0.73655914  177.        ]	[  0.42352941  68.        ]  	[  0.0758047   20.14139315]	5.64356	17 	1  	3.44859 
4  	3.37751	[   0.62824681  121.71287129]	[   0.74468085  177.        ]	[  0.43225806  67.        ]  	[  0.07757938  20.85372756]	6.14851	17 	1  	3.56658 
5  	3.27252	[   0.6473209   126.25742574]	[   0.74468085  177.        ]	[  0.47164179  79.        ]  	[  0.07809417  20.67171668]	5.80198	15 	1  	2.93838 
6  	3.36264	[   0.65189181  126.69306931]	[   0.77948718  157.        ]	[ 0.  0.]                    	[  0.10556649  24.64952054]	5.90099	13 	1  	3.12608 
7  	3.38763	[   0.67045469  132.14851485]	[   0.77948718  156.        ]	[  0.4591195  73.       ]    	[  0.07691734  19.5399495 ]	5.82178	17 	1  	3.34011 
8  	4.20331	[   0.67162732  131.36633663]	[   0.77948718  157.        ]	[  0.45142857  79.        ]  	[  0.08648774  20.98076572]	6.23762	17 	1  	3.3777  
9  	4.73345	[   0.68495116  133.89108911]	[   0.77948718  155.        ]	[  0.45045045  75.        ]  	[  0.07822815  19.77742537]	7.28713	15 	1  	2.91237 
10 	5.47675	[   0.68370215  133.10891089]	[   0.77948718  155.        ]	[  0.44368601  65.        ]  	[  0.08250221  20.16462003]	8.26733	16 	1  	3.46665 
11 	6.42624	[   0.68465801  133.63366337]	[   0.77948718  155.        ]	[  0.43137255  77.        ]  	[  0.07624923  18.4426984 ]	9.32673	17 	1  	3.59623 
12 	7.06297	[   0.6930283   134.94059406]	[   0.77948718  154.        ]	[  0.47411444  85.        ]  	[  0.07652922  17.5611079 ]	9.32673	23 	1  	4.20304 
13 	7.20313	[   0.69177706  134.95049505]	[   0.77948718  158.        ]	[  0.41982507  72.        ]  	[  0.08044844  19.63194822]	9.88119	23 	2  	4.3402  
14 	7.07625	[   0.70590254  138.40594059]	[   0.77948718  157.        ]	[  0.45454545  80.        ]  	[  0.073306    17.21855907]	8.9505 	25 	1  	4.38353 
15 	7.63008	[   0.68889228  133.0990099 ]	[   0.77948718  157.        ]	[  0.47411444  85.        ]  	[  0.08905501  21.18448197]	9.35644	19 	1  	4.59786 
16 	7.21428	[   0.6891792   133.14851485]	[   0.77948718  157.        ]	[  0.4566474  79.       ]    	[  0.0828403   19.62539582]	9.25743	19 	1  	4.63019 
17 	8.14723	[   0.69247814  134.1980198 ]	[   0.78021978  157.        ]	[ 0.  0.]                    	[  0.10806647  23.45082059]	9.52475	19 	1  	4.56329 
18 	8.92673	[   0.6989525  134.       ]  	[   0.78021978  153.        ]	[  0.43292683  71.        ]  	[  0.08771949  20.03758844]	10.3762	24 	2  	4.61133 
19 	10.8332	[   0.71063265  136.23762376]	[   0.78021978  153.        ]	[  0.45970149  73.        ]  	[  0.07161691  16.67163864]	11.7228	24 	1  	4.49668 
20 	10.8166	[   0.69335481  131.03960396]	[   0.78021978  158.        ]	[ 0.  0.]                    	[  0.11206569  23.55146914]	12     	27 	2  	4.78653 
21 	13.2541	[   0.71831611  136.37623762]	[   0.78021978  158.        ]	[  0.45938375  81.        ]  	[  0.077824    16.52352148]	13.7723	27 	2  	5.4152  
22 	12.6226	[   0.71723073  135.24752475]	[   0.79889807  158.        ]	[ 0.  0.]                    	[  0.10012771  20.18989353]	13.2772	34 	2  	4.75149 
23 	12.3029	[   0.72901289  138.27722772]	[   0.79889807  158.        ]	[  0.49180328  89.        ]  	[  0.0700561   14.54737485]	13.4851	27 	5  	4.17824 
24 	11.4903	[   0.72325239  135.76237624]	[   0.79889807  156.        ]	[ 0.  0.]                    	[  0.10441751  21.53291219]	13.0693	27 	2  	4.30348 
25 	12.0375	[   0.73837909  138.87128713]	[   0.79889807  152.        ]	[  0.49162011  88.        ]  	[  0.05356673  10.91339749]	13.4752	27 	5  	3.79576 
26 	12.2725	[   0.73883403  138.53465347]	[   0.79889807  154.        ]	[  0.44314869  73.        ]  	[  0.07272876  15.20784344]	13.9604	24 	2  	3.46673 
27 	11.6192	[   0.73012009  137.03960396]	[   0.79889807  157.        ]	[  0.46831956  85.        ]  	[  0.07924838  16.05308076]	14.1386	24 	4  	3.63707 
28 	11.4501	[   0.75093877  141.04950495]	[   0.79889807  157.        ]	[  0.52661064  93.        ]  	[  0.05488293  11.02236811]	14.2673	32 	1  	4.04894 
29 	11.1268	[   0.7444032   139.38613861]	[   0.79889807  154.        ]	[  0.46796657  84.        ]  	[  0.06928715  13.97307899]	14.4059	32 	2  	4.15105 
30 	12.194 	[   0.75325711  140.73267327]	[   0.8033241  151.       ]  	[  0.50137741  91.        ]  	[  0.0593371   11.12386703]	14.7228	32 	9  	3.51832 
31 	11.2174	[   0.74671056  139.67326733]	[   0.8033241  154.       ]  	[  0.48467967  87.        ]  	[  0.07194309  13.65277248]	14.0495	24 	1  	3.41626 
32 	11.0884	[   0.74397337  138.8019802 ]	[   0.8033241  151.       ]  	[  0.43103448  75.        ]  	[  0.07217593  14.36857118]	14.0495	25 	1  	4.18478 
33 	11.3167	[   0.73677959  137.99009901]	[   0.8033241  154.       ]  	[  0.47191011  84.        ]  	[  0.07282887  14.37234353]	14.0891	33 	1  	4.30312 
34 	12.3031	[   0.74860854  138.96039604]	[   0.8033241  156.       ]  	[  0.50140845  87.        ]  	[  0.05528911  11.81702145]	14.6931	23 	1  	3.99193 
35 	12.5323	[   0.74788584  138.95049505]	[   0.8033241  152.       ]  	[  0.48044693  86.        ]  	[  0.06191996  12.48077828]	14.9604	29 	5  	3.86638 
36 	13.1282	[   0.74974028  138.91089109]	[   0.8033241  153.       ]  	[  0.45977011  80.        ]  	[  0.06779274  13.37583088]	15.703 	29 	8  	3.59743 
