   	       	                                                         fitness                                                         	              size              
   	       	-------------------------------------------------------------------------------------------------------------------------	--------------------------------
gen	time   	avg                        	max                        	min                      	std                      	avg    	max	min	std     
0  	6.0093 	[0.03724019 5.11881188]    	[ 0.21498371 33.        ]  	[0. 0.]                  	[0.03955536 6.01695151]  	2.14851	9  	1  	1.80969 
1  	9.22816	[0.06144332 8.94059406]    	[ 0.22149837 34.        ]  	[0. 0.]                  	[ 0.06360588 10.02257035]	3.84158	13 	1  	2.7709  
2  	10.1946	[ 0.08473241 12.33663366]  	[ 0.22727273 35.        ]  	[0. 0.]                  	[ 0.07115329 11.06531216]	4.75248	11 	1  	2.58865 
3  	12.9509	[ 0.10265843 15.10891089]  	[ 0.26791277 43.        ]  	[0. 0.]                  	[ 0.0767357  12.02217505]	6.0495 	17 	1  	2.95302 
4  	17.5351	[ 0.1503165  22.78217822]  	[ 0.30857143 54.        ]  	[0. 0.]                  	[ 0.08029354 13.03278726]	7.75248	16 	1  	2.6115  
5  	20.8128	[ 0.18257361 28.41584158]  	[ 0.33333333 60.        ]  	[0. 0.]                  	[ 0.08021927 13.77346231]	8.70297	17 	1  	2.89261 
6  	26.5901	[ 0.19046784 30.57425743]  	[ 0.33333333 65.        ]  	[0.00749064 1.        ]  	[ 0.09167662 16.41862414]	10.1188	27 	1  	3.5774  
7  	31.2337	[ 0.22473884 36.86138614]  	[ 0.35393258 65.        ]  	[0. 0.]                  	[ 0.08928361 16.53261385]	11.0495	22 	1  	3.42783 
8  	37.0042	[ 0.23552135 39.55445545]  	[ 0.35393258 68.        ]  	[0.00763359 1.        ]  	[ 0.09744805 18.39956696]	12.198 	29 	4  	4.09303 
9  	41.0741	[ 0.27212668 47.35643564]  	[ 0.41322314 75.        ]  	[0.008 1.   ]            	[ 0.09199559 17.8400951 ]	12.9505	25 	1  	5.02149 
10 	50.0008	[ 0.28056652 48.66336634]  	[ 0.41322314 75.        ]  	[0.015625 2.      ]      	[ 0.08919861 17.38855731]	14.3861	31 	1  	6.18201 
11 	54.6928	[ 0.28342323 49.53465347]  	[ 0.4171123 78.       ]    	[0.00790514 1.        ]  	[ 0.10064441 19.62397218]	14.5149	40 	6  	5.99111 
12 	58.9322	[ 0.30049176 53.00990099]  	[ 0.4171123 78.       ]    	[0. 0.]                  	[ 0.09687218 18.63643565]	15.3366	40 	5  	6.47505 
13 	64.1505	[ 0.31494967 55.69306931]  	[ 0.4171123 78.       ]    	[0.03030303 4.        ]  	[ 0.08785064 17.46268586]	15.6535	40 	3  	7.08846 
14 	64.9904	[ 0.32449022 57.99009901]  	[ 0.42857143 84.        ]  	[0.03174603 4.        ]  	[ 0.10196108 19.56481741]	14.8416	31 	5  	5.62479 
15 	76.1498	[ 0.31383887 55.71287129]  	[ 0.42857143 84.        ]  	[0.01532567 2.        ]  	[ 0.10716421 20.57602981]	16.1683	39 	5  	6.10156 
16 	86.9039	[ 0.34272549 61.79207921]  	[ 0.44270833 85.        ]  	[0.03007519 4.        ]  	[ 0.09458308 18.65917173]	16.9604	39 	4  	6.2836  
17 	90.2622	[ 0.35236197 64.15841584]  	[ 0.44270833 87.        ]  	[0.05673759 8.        ]  	[ 0.08059463 16.85037983]	16.297 	37 	10 	5.50705 
18 	101.682	[ 0.36163679 67.1980198 ]  	[ 0.44270833 88.        ]  	[0.05223881 7.        ]  	[ 0.08814125 19.03203126]	17.1485	36 	10 	5.56578 
19 	109.723	[ 0.39494662 75.12871287]  	[ 0.44270833 88.        ]  	[ 0.10791367 15.        ]	[ 0.05105631 12.68246108]	17.505 	36 	11 	5.79625 
20 	118.838	[ 0.39071743 74.95049505]  	[ 0.448 88.   ]            	[0.02298851 3.        ]  	[ 0.07662302 16.53042574]	18.4455	36 	10 	6.74056 
21 	118.575	[ 0.40210042 77.27722772]  	[ 0.448 89.   ]            	[ 0.13651877 20.        ]	[ 0.0576875  14.01916567]	17.6238	35 	10 	6.37578 
22 	116.723	[ 0.39100797 74.2970297 ]  	[ 0.46272494 90.        ]  	[0.01526718 2.        ]  	[ 0.07636097 16.83792546]	16.8416	35 	9  	5.80838 
23 	109.399	[ 0.39344731 74.8019802 ]  	[ 0.46547315 91.        ]  	[0.00796813 1.        ]  	[ 0.09627164 20.48617974]	15.9604	31 	13 	3.74409 
24 	111.082	[ 0.40849845 77.15841584]  	[ 0.46547315 91.        ]  	[ 0.11428571 16.        ]	[ 0.07335638 16.31784098]	15.8812	31 	8  	4.19638 
25 	120.9  	[ 0.40674309 76.91089109]  	[ 0.46547315 91.        ]  	[0.04511278 6.        ]  	[ 0.07287242 15.76190357]	17.7129	38 	6  	4.96191 
26 	137.814	[ 0.40782197 77.21782178]  	[ 0.46547315 91.        ]  	[ 0.15224913 22.        ]	[ 0.07037126 15.83491815]	20.6436	31 	10 	5.17722 
27 	144.904	[ 0.4143771  78.77227723]  	[ 0.4744898 93.       ]    	[ 0.16828479 26.        ]	[ 0.07404647 16.57379608]	21.5545	34 	6  	5.50513 
28 	142.73 	[ 0.41653595 79.21782178]  	[ 0.47570332 93.        ]  	[0.03125 4.     ]        	[ 0.08266644 18.1089136 ]	22.4455	36 	11 	4.34519 
29 	140.903	[ 0.41608552 79.05940594]  	[ 0.47570332 93.        ]  	[ 0.19047619 30.        ]	[ 0.06083825 13.89694872]	22.396 	36 	11 	3.68319 
30 	142.137	[ 0.42682753 81.75247525]  	[ 0.47570332 96.        ]  	[ 0.08450704 12.        ]	[ 0.06516714 14.74832156]	22.7624	36 	11 	4.02258 
31 	135.599	[ 0.42700958 81.93069307]  	[ 0.4836272 96.       ]    	[ 0.18055556 26.        ]	[ 0.0611512  13.98249077]	22.604 	36 	11 	3.94537 
32 	138.656	[ 0.40869241 78.06930693]  	[ 0.4836272 96.       ]    	[0.03875969 5.        ]  	[ 0.08259388 18.43654218]	23.2376	38 	11 	3.92541 
33 	145.832	[ 0.41766746 80.42574257]  	[ 0.4836272 96.       ]    	[ 0.10071942 14.        ]	[ 0.07017817 15.66755273]	24.1287	40 	11 	4.61093 
34 	143.759	[ 0.39986969 76.45544554]  	[ 0.4836272 96.       ]    	[0.01550388 2.        ]  	[ 0.09567791 20.78819388]	23.6634	40 	11 	4.80362 
35 	146.117	[ 0.41671682 80.51485149]  	[ 0.4836272 96.       ]    	[0.016 2.   ]            	[ 0.08600753 18.32685303]	24.4554	40 	11 	5.51061 
36 	153.434	[ 0.43025971 83.45544554]  	[ 0.48469388 96.        ]  	[0.04494382 6.        ]  	[ 0.06590295 14.6777428 ]	24.7129	40 	11 	5.46336 
37 	150.944	[ 0.40527909 77.75247525]  	[ 0.48743719 97.        ]  	[0.00796813 1.        ]  	[ 0.10211112 21.91224891]	24.297 	40 	11 	5.39076 
38 	152.885	[ 0.39360366 75.38613861]  	[ 0.48743719 97.        ]  	[0.01544402 2.        ]  	[ 0.1150366  24.74302394]	24.7426	40 	13 	5.70852 
39 	159.428	[ 0.42990965 82.93069307]  	[ 0.49113924 97.        ]  	[ 0.24096386 38.        ]	[ 0.05426344 13.02568478]	25.6337	40 	16 	6.31472 
40 	165.468	[ 0.4307883  83.45544554]  	[ 0.49113924 97.        ]  	[ 0.09352518 13.        ]	[ 0.07402115 16.8155543 ]	26.2079	40 	16 	6.56471 
41 	162.384	[ 0.43308482 84.02970297]  	[ 0.49238579 98.        ]  	[0.03846154 5.        ]  	[ 0.07880604 17.59638546]	25.802 	40 	11 	6.96955 
42 	166.587	[ 0.44901644 87.6039604 ]  	[ 0.49238579 99.        ]  	[ 0.15333333 23.        ]	[ 0.05329962 12.43842594]	26.8119	40 	14 	6.73062 
43 	164.401	[ 0.4438107  86.74257426]  	[ 0.49871465 99.        ]  	[0.04669261 6.        ]  	[ 0.07325305 16.56111004]	26.4257	40 	13 	7.00826 
44 	160.493	[ 0.42211569 81.75247525]  	[ 0.49871465 98.        ]  	[0. 0.]                  	[ 0.09644523 21.06679896]	25.8119	40 	14 	5.88119 
45 	168.014	[ 0.43484357 84.38613861]  	[ 0.49871465 98.        ]  	[0.04285714 6.        ]  	[ 0.07312648 16.63645663]	25.6931	40 	14 	6.09616 
46 	157.765	[ 0.43615548 84.72277228]  	[ 0.49871465 98.        ]  	[0.06818182 9.        ]  	[ 0.08025252 17.91626221]	24.4158	40 	11 	4.68253 
47 	154.808	[ 0.44220241 85.8019802 ]  	[ 0.49871465 99.        ]  	[ 0.17940199 27.        ]	[ 0.06360868 14.96531951]	24.5941	40 	14 	4.9536  
48 	147.197	[ 0.43278864 83.61386139]  	[ 0.49871465 98.        ]  	[0.05147059 7.        ]  	[ 0.07143608 16.19434585]	23.7129	40 	11 	4.67421 
