   	       	                         fitness                         	              size              
   	       	---------------------------------------------------------	--------------------------------
gen	time   	avg     	max     	min     	std      	avg    	max	min	std     
0  	2.48237	0.440593	0.825926	0       	0.354206 	2.29341	6  	1  	1.15459 
1  	3.72868	0.617294	0.851852	0       	0.270976 	2.98805	8  	1  	1.38138 
2  	4.35564	0.669781	0.851852	0       	0.235502 	3.37575	11 	1  	1.58897 
3  	4.59897	0.707621	0.859259	0       	0.203448 	3.43056	9  	1  	1.68418 
4  	5.0522 	0.726021	0.859259	0       	0.19319  	3.8495 	9  	1  	1.77695 
5  	5.62092	0.746743	0.859259	0       	0.178379 	4.33004	11 	1  	1.88078 
6  	6.18601	0.768931	0.862963	0       	0.144433 	4.77515	11 	1  	1.89901 
7  	6.78162	0.77901 	0.862963	0       	0.132447 	5.27559	14 	1  	2.03388 
8  	7.1868 	0.774882	0.862963	0       	0.153598 	5.49705	14 	1  	2.21765 
9  	7.8701 	0.79321 	0.866667	0       	0.113929 	5.90588	14 	1  	2.38191 
10 	8.8795 	0.807241	0.866667	0       	0.0880462	6.53425	18 	1  	2.74598 
11 	9.73731	0.805252	0.877778	0       	0.119364 	7.03125	19 	1  	2.98809 
12 	10.5017	0.807111	0.866667	0       	0.134705 	7.59844	20 	1  	3.35469 
13 	10.6678	0.810881	0.87037 	0       	0.115421 	7.61868	20 	1  	3.34736 
14 	11.3449	0.814987	0.87037 	0       	0.105123 	7.74951	20 	1  	3.49332 
15 	11.4056	0.809166	0.877778	0       	0.122964 	7.68023	19 	1  	3.39979 
16 	13.1021	0.816097	0.877778	0       	0.126269 	8.45455	20 	1  	3.54255 
17 	13.8738	0.824632	0.881481	0       	0.0980748	8.76255	20 	1  	3.61512 
18 	15.2554	0.822629	0.881481	0       	0.110429 	9.23507	20 	1  	3.8245  
19 	17.259 	0.832365	0.881481	0       	0.0741788	10.0538	20 	2  	4.04363 
20 	18.6308	0.836618	0.881481	0       	0.074153 	10.4472	20 	1  	3.99635 
21 	21.7575	0.83305 	0.881481	0       	0.0898634	11.3525	20 	1  	4.28021 
22 	25.5735	0.83834 	0.881481	0       	0.0824296	12.4761	20 	2  	4.35527 
23 	29.6861	0.847017	0.881481	0       	0.0608699	13.355 	20 	2  	4.38769 
24 	32.5051	0.848388	0.885185	0       	0.0621886	14.0762	20 	1  	4.32026 
25 	34.9641	0.848381	0.885185	0       	0.0713765	14.6179	20 	2  	4.15255 
26 	38.8928	0.854319	0.885185	0.67037 	0.0334145	15.5579	20 	2  	3.7208  
27 	41.4727	0.853367	0.888889	0       	0.050597 	16.178 	20 	1  	3.38033 
28 	41.4034	0.857523	0.892593	0       	0.0483858	16.2117	20 	2  	3.21689 
29 	43.7122	0.859455	0.892593	0       	0.0613757	16.6302	20 	1  	2.87983 
30 	44.1746	0.855325	0.892593	0       	0.0744683	16.7175	20 	1  	2.93676 
31 	45.0877	0.859844	0.892593	0       	0.0524429	16.7425	20 	2  	3.23739 
32 	46.7652	0.860864	0.892593	0.677778	0.0399813	16.8518	20 	2  	2.98881 
