   	       	                         fitness                         	               size              
   	       	---------------------------------------------------------	---------------------------------
gen	time   	avg     	max     	min     	std      	avg    	max	min	std      
0  	2.41429	0.424617	0.825926	0       	0.351648 	2.28144	6  	1  	1.12432  
1  	3.69465	0.622658	0.840741	0       	0.255556 	2.83267	8  	1  	1.35077  
2  	4.21868	0.688351	0.840741	0       	0.204458 	3.23658	8  	1  	1.50734  
3  	4.34423	0.679439	0.840741	0       	0.24669  	3.77381	9  	1  	1.76058  
4  	4.67099	0.70066 	0.840741	0       	0.243638 	4.03366	12 	1  	1.99426  
5  	5.14643	0.718672	0.840741	0       	0.228351 	4.45257	14 	1  	2.27174  
6  	5.41059	0.733808	0.851852	0       	0.21806  	4.83037	14 	1  	2.40947  
7  	5.59751	0.729309	0.851852	0       	0.225267 	5.04528	16 	1  	2.43173  
8  	5.8762 	0.748068	0.851852	0       	0.195436 	5.27898	16 	1  	2.43678  
9  	6.48178	0.755585	0.851852	0       	0.190397 	6.00588	18 	1  	2.76781  
10 	6.76447	0.77577 	0.855556	0       	0.158601 	6.43444	17 	1  	2.80465  
11 	7.08726	0.778168	0.851852	0       	0.162267 	6.89453	19 	1  	3.0066   
12 	7.39257	0.785337	0.851852	0       	0.143195 	7.34698	19 	1  	2.88919  
13 	7.7322 	0.79149 	0.855556	0       	0.130449 	7.8035 	20 	1  	3.10865  
14 	8.51603	0.795908	0.855556	0       	0.142526 	8.46214	19 	1  	3.12211  
15 	9.34266	0.80127 	0.859259	0       	0.119883 	9.2093 	20 	1  	3.43076  
16 	9.94464	0.811613	0.859259	0       	0.108093 	9.53385	19 	1  	3.43682  
17 	10.6776	0.816495	0.862963	0       	0.088838 	9.95753	20 	1  	3.34533  
18 	11.3164	0.822187	0.862963	0       	0.07298  	10.2119	20 	1  	3.39633  
19 	11.8891	0.81485 	0.862963	0       	0.109183 	10.4615	20 	1  	3.67508  
20 	12.1706	0.819649	0.862963	0       	0.095765 	10.6852	20 	2  	3.6245   
21 	12.83  	0.817731	0.862963	0       	0.119348 	10.977 	20 	1  	3.96675  
22 	14.3575	0.823724	0.862963	0       	0.089008 	11.9369	20 	2  	3.94293  
23 	15.5577	0.829389	0.862963	0       	0.0868797	12.5095	20 	1  	4.01499  
24 	16.3491	0.824388	0.862963	0       	0.102431 	12.819 	20 	2  	4.28237  
25 	16.8885	0.827764	0.862963	0       	0.0873272	13.1635	20 	1  	4.40142  
26 	17.4896	0.826509	0.866667	0       	0.107723 	13.5806	20 	1  	4.36267  
27 	18.2479	0.832162	0.862963	0       	0.0718569	14.0663	20 	1  	4.3712   
28 	19.1918	0.837506	0.862963	0       	0.0594786	14.5766	20 	1  	4.08722  
29 	18.8531	0.833774	0.862963	0       	0.0875791	14.366 	20 	1  	4.18375  
30 	19.4312	0.834484	0.87037 	0       	0.0936709	14.8324	20 	1  	3.94216  
31 	20.114 	0.837065	0.87037 	0       	0.0783518	15.1692	20 	2  	3.91517  
32 	19.9402	0.838746	0.87037 	0       	0.0617632	15.0075	20 	3  	3.92136  
33 	21.5187	0.842627	0.87037 	0       	0.0488577	15.2903	20 	1  	3.89276  
34 	21.5231	0.840942	0.87037 	0       	0.060815 	15.4561	20 	4  	3.66767  
35 	21.3978	0.838778	0.87037 	0       	0.0713605	15.1679	20 	3  	3.70782  
36 	21.1675	0.840486	0.87037 	0       	0.0699319	15.0205	20 	3  	3.69023  
37 	21.8525	0.840445	0.87037 	0       	0.0714254	15.2825	20 	2  	3.64989  
38 	22.4419	0.84272 	0.87037 	0       	0.0693113	15.1818	20 	2  	3.76148  
39 	23.1304	0.837956	0.87037 	0       	0.0879429	14.8722	20 	1  	3.75701  
40 	23.1793	0.848162	0.87037 	0.659259	0.0319392	15.0351	20 	6  	3.31532  
41 	21.5409	0.845135	0.87037 	0       	0.0501609	14.5701	20 	2  	3.47549  
42 	21.4056	0.846286	0.87037 	0.67037 	0.0362413	14.6077	20 	7  	3.15162  
43 	20.8486	0.84215 	0.874074	0       	0.0723998	14.3732	20 	2  	3.32306  
44 	20.4108	0.847503	0.874074	0.67037 	0.0367308	14.3303	20 	2  	3.38061  
45 	20.4977	0.846798	0.874074	0       	0.0513823	14.3114	20 	1  	3.48599  
46 	19.9801	0.846537	0.877778	0       	0.0631355	14.6508	20 	2  	3.2698   
47 	19.867 	0.848141	0.877778	0       	0.0522067	14.6661	20 	6  	3.24821  
48 	20.1265	0.84516 	0.877778	0       	0.0803416	14.8579	20 	3  	3.35483  
49 	20.0066	0.848364	0.877778	0       	0.0617693	14.8782	20 	1  	3.24929  
50 	20.4506	0.84917 	0.877778	0       	0.0613429	14.8548	20 	3  	3.19209  
51 	20.5504	0.846652	0.877778	0       	0.0799857	14.9656	20 	2  	3.36606  
52 	21.0284	0.851992	0.877778	0.685185	0.0367014	15.1899	20 	3  	3.31501  
53 	21.6918	0.849318	0.877778	0       	0.051911 	15.2455	20 	5  	3.47519  
54 	22.4979	0.852226	0.877778	0.677778	0.0356761	15.5712	20 	5  	3.41432  
55 	22.7834	0.852984	0.877778	0.674074	0.0369503	15.7248	20 	6  	3.30546  
56 	23.4009	0.850881	0.877778	0       	0.0621779	15.8546	20 	4  	3.24112  
57 	23.8669	0.849144	0.877778	0       	0.0638669	16.1846	20 	4  	3.28677  
58 	24.182 	0.852826	0.877778	0       	0.0609975	16.5188	20 	2  	3.43963  
59 	25.3864	0.854464	0.877778	0.696296	0.0345517	16.9482	20 	4  	3.25892  
60 	25.3846	0.844662	0.877778	0       	0.0826236	17.0374	20 	1  	3.48263  
61 	26.1309	0.847713	0.877778	0       	0.0809378	17.0142	20 	1  	3.64039  
62 	26.2127	0.850661	0.877778	0       	0.0719942	17.4529	20 	1  	3.42789  
63 	26.1139	0.854071	0.877778	0       	0.0500123	17.5426	20 	1  	3.28277  
64 	26.5243	0.850174	0.877778	0       	0.0801564	17.6973	20 	1  	3.47819  
65 	27.5641	0.855516	0.877778	0.659259	0.0360596	17.8958	20 	3  	3.22612  
66 	28.1757	0.852126	0.877778	0       	0.0624951	18.0317	20 	3  	3.03403  
67 	28.9305	0.852197	0.877778	0       	0.0521134	18.1866	20 	1  	2.80035  
68 	29.627 	0.852731	0.877778	0       	0.0797299	18.4271	20 	1  	2.71532  
69 	30.7354	0.853697	0.877778	0       	0.0625385	18.4018	20 	3  	2.66984  
70 	30.5941	0.856217	0.881481	0       	0.050137 	18.2399	20 	5  	2.82165  
71 	31.2722	0.854895	0.877778	0       	0.0506275	18.1608	20 	5  	2.92123  
72 	31.2618	0.852227	0.877778	0       	0.064676 	18.0489	20 	1  	3.00745  
73 	33.7102	0.858201	0.881481	0.692593	0.0338651	18.5941	20 	4  	2.30755  
74 	34.7309	0.85591 	0.881481	0       	0.0512479	18.8035	20 	6  	2.07963  
75 	34.5119	0.857079	0.881481	0.681481	0.036343 	18.7274	20 	7  	1.86907  
76 	34.6559	0.853617	0.881481	0       	0.0711998	18.565 	20 	2  	2.50331  
77 	35.0414	0.855043	0.881481	0       	0.0623743	18.6367	20 	1  	2.32025  
78 	36.8048	0.85798 	0.881481	0.655556	0.0366502	18.8048	20 	4  	1.98915  
79 	36.7273	0.851782	0.881481	0       	0.0802376	18.6569	20 	1  	2.34327  
80 	37.3006	0.849602	0.881481	0       	0.0800677	18.7917	20 	2  	2.03827  
81 	37.1071	0.854525	0.881481	0       	0.0626663	18.7216	20 	1  	2.08534  
82 	37.0935	0.855282	0.881481	0       	0.0627044	18.6021	20 	3  	2.45707  
83 	37.6357	0.856722	0.881481	0       	0.062155 	18.7106	20 	3  	2.21996  
84 	37.0256	0.853131	0.881481	0       	0.0789034	18.4427	20 	2  	2.6565   
85 	38.1119	0.857167	0.881481	0       	0.0697922	18.8328	20 	7  	1.96106  
86 	37.6219	0.859619	0.881481	0       	0.0486096	18.8228	20 	5  	2.09061  
87 	37.3393	0.856097	0.881481	0       	0.0706895	18.6973	20 	5  	2.24067  
88 	37.843 	0.857153	0.881481	0       	0.0504598	18.7844	20 	5  	2.13055  
89 	37.3621	0.857602	0.881481	0.640741	0.0380489	18.8475	20 	3  	2.25879  
90 	37.4925	0.860024	0.881481	0       	0.0483602	18.9069	20 	3  	2.12386  
91 	37.0365	0.855249	0.881481	0       	0.0621814	18.75  	20 	3  	2.28205  
92 	37.1319	0.857448	0.881481	0       	0.0693467	18.7133	20 	1  	2.56559  
93 	37.6476	0.856609	0.881481	0       	0.0524063	18.9141	20 	2  	2.15581  
94 	37.7875	0.856825	0.881481	0       	0.0516541	18.8218	20 	5  	2.33394  
95 	39.8139	0.858582	0.881481	0       	0.050023 	18.9128	20 	1  	2.29073  
96 	40.014 	0.858558	0.881481	0       	0.0510249	19.0385	20 	1  	1.88359  
97 	40.6529	0.856602	0.881481	0       	0.0610168	19.0217	20 	6  	1.79218  
98 	40.6041	0.85968 	0.881481	0       	0.0489513	18.8748	20 	1  	2.322    
99 	41.5898	0.856957	0.881481	0       	0.0528621	19.0217	20 	1  	1.87204  
100	41.183 	0.86096 	0.881481	0.644444	0.0370941	19.0067	20 	2  	1.85765  
101	41.5085	0.859635	0.881481	0.67037 	0.0387563	19.0465	20 	3  	1.71019  
102	41.8481	0.853461	0.881481	0       	0.0790193	18.859 	20 	1  	2.14523  
103	43.6924	0.858241	0.881481	0       	0.0600826	18.9818	20 	1  	1.90972  
104	45.4369	0.858194	0.881481	0       	0.0517113	19.0959	20 	10 	1.5398   
105	45.3206	0.859956	0.881481	0       	0.0601014	19.0446	20 	2  	1.70893  
106	45.0512	0.852944	0.881481	0       	0.0801366	19.0791	20 	2  	1.6388   
107	46.6386	0.860106	0.881481	0       	0.0509585	19.0691	20 	3  	1.77478  
108	47.1036	0.858481	0.881481	0       	0.0603584	19.1379	20 	3  	1.50009  
109	47.1747	0.857717	0.881481	0       	0.0532693	19.1951	20 	2  	1.39424  
110	46.8709	0.859108	0.881481	0       	0.0610841	19.1899	20 	6  	1.36952  
111	46.8084	0.858739	0.881481	0       	0.0505942	19.1258	20 	7  	1.43788  
112	48.0658	0.859598	0.881481	0       	0.0603487	19.1566	20 	1  	1.46574  
113	48.2966	0.859139	0.881481	0       	0.0609804	19.1678	20 	3  	1.35284  
114	49.4201	0.859422	0.881481	0       	0.0523471	19.2016	20 	2  	1.33191  
115	50.4802	0.862951	0.881481	0       	0.0491642	19.2354	20 	2  	1.27722  
116	51.8269	0.863227	0.881481	0       	0.0582018	19.3306	20 	11 	0.988222 
117	51.8   	0.864281	0.881481	0       	0.0483909	19.3091	20 	2  	1.32683  
118	51.2121	0.857249	0.881481	0       	0.0629022	19.2246	20 	1  	1.71555  
119	50.6565	0.859409	0.885185	0       	0.0616283	19.1242	20 	3  	1.74755  
120	50.7313	0.864776	0.885185	0.662963	0.0345126	19.058 	20 	11 	1.86152  
121	51.6149	0.859087	0.885185	0       	0.0700228	19.209 	20 	1  	1.69965  
122	52.0007	0.862018	0.885185	0       	0.049882 	19.3563	20 	11 	1.22893  
123	52.7989	0.858375	0.885185	0       	0.0707796	19.3333	20 	1  	1.75533  
124	53.3493	0.861956	0.885185	0       	0.0605989	19.488 	20 	1  	1.24204  
125	53.0044	0.863945	0.885185	0       	0.0470325	19.4712	20 	1  	1.15284  
126	53.7295	0.862473	0.885185	0.674074	0.0376243	19.5614	20 	14 	0.673473 
127	52.9048	0.864249	0.885185	0.685185	0.0345845	19.4475	20 	11 	0.882658 
128	51.8213	0.864105	0.885185	0.677778	0.0367996	19.3466	20 	11 	0.978664 
129	51.5904	0.857425	0.885185	0       	0.0707462	19.2349	20 	2  	1.2197   
130	52.0102	0.856882	0.885185	0       	0.0629039	19.2647	20 	10 	1.07175  
131	52.5651	0.862078	0.885185	0       	0.0527538	19.1329	20 	1  	1.31858  
132	52.4517	0.86528 	0.885185	0.677778	0.0342185	19.1627	20 	3  	1.23421  
133	52.4441	0.85732 	0.885185	0       	0.0777227	19.1104	20 	1  	1.32928  
134	51.3684	0.852616	0.885185	0       	0.0867548	18.9291	20 	10 	1.37687  
135	51.8708	0.860558	0.888889	0       	0.0526745	19.0267	20 	12 	1.20308  
136	52.4762	0.857992	0.888889	0       	0.078293 	19.0251	20 	10 	1.2312   
137	52.3645	0.859544	0.888889	0       	0.0707432	19.0643	20 	12 	1.21405  
138	53.4032	0.859659	0.888889	0       	0.070866 	19.1315	20 	2  	1.28246  
139	53.9189	0.861713	0.888889	0       	0.0599188	19.1313	20 	3  	1.29239  
140	54.9875	0.855538	0.888889	0       	0.0861325	19.2012	20 	2  	1.32717  
141	57.0643	0.859305	0.888889	0       	0.0630548	19.296 	20 	2  	1.44568  
142	58.6357	0.861725	0.888889	0       	0.0693323	19.437 	20 	2  	1.14989  
143	58.8261	0.863843	0.888889	0       	0.0599352	19.4488	20 	2  	1.29937  
144	59.9352	0.865828	0.888889	0       	0.0585322	19.5504	20 	2  	1.13138  
145	61.0379	0.866718	0.888889	0       	0.0497188	19.6084	20 	2  	1.07311  
146	62.2849	0.866312	0.888889	0       	0.0493341	19.66  	20 	1  	1.12523  
147	62.7912	0.87029 	0.888889	0       	0.0473089	19.7886	20 	15 	0.671321 
148	63.4459	0.867557	0.888889	0       	0.0498502	19.8382	20 	15 	0.608127 
149	62.5113	0.863835	0.888889	0       	0.0694881	19.7938	20 	1  	1.22184  
150	62.9121	0.867315	0.892593	0       	0.0494715	19.8479	20 	1  	0.958385 
151	63.1066	0.869388	0.892593	0.674074	0.0357223	19.8727	20 	15 	0.584086 
152	63.932 	0.867041	0.892593	0       	0.0600871	19.9096	20 	13 	0.449041 
153	63.9006	0.866378	0.892593	0       	0.0611543	19.8685	20 	1  	0.942288 
154	63.2954	0.866474	0.892593	0       	0.0513817	19.8519	20 	2  	0.888119 
155	62.8737	0.862302	0.892593	0       	0.0782228	19.7957	20 	2  	0.969527 
156	63.9453	0.865534	0.892593	0       	0.0697209	19.8508	20 	14 	0.572561 
157	63.7462	0.868614	0.892593	0       	0.0503315	19.8708	20 	11 	0.580875 
158	63.2127	0.864379	0.892593	0       	0.0622502	19.8179	20 	2  	0.931777 
159	63.7137	0.871493	0.892593	0       	0.0470534	19.8242	20 	14 	0.610032 
160	64.1178	0.868757	0.892593	0.685185	0.0382836	19.82  	20 	13 	0.596987 
161	63.9636	0.867293	0.892593	0       	0.0613449	19.8474	20 	17 	0.497107 
162	64.1173	0.866237	0.892593	0       	0.0526442	19.8205	20 	2  	0.898835 
163	64.7819	0.865038	0.892593	0       	0.055014 	19.8765	20 	1  	0.878006 
164	64.5549	0.869646	0.892593	0.648148	0.0402275	19.8617	20 	16 	0.51045  
165	64.8973	0.866389	0.892593	0       	0.0610419	19.8619	20 	2  	0.834046 
166	65.4083	0.872941	0.892593	0.677778	0.0343394	19.8726	20 	17 	0.483875 
167	65.7903	0.869888	0.892593	0.655556	0.0384947	19.8698	20 	1  	0.856176 
168	65.975 	0.869474	0.892593	0       	0.0604284	19.8759	20 	2  	0.82079  
169	66.3693	0.86906 	0.892593	0.62963 	0.0417011	19.9045	20 	17 	0.426521 
170	66.1511	0.867925	0.892593	0       	0.0519732	19.8614	20 	1  	0.856387 
171	66.0027	0.869577	0.892593	0.692593	0.0380025	19.8884	20 	17 	0.454196 
172	65.8939	0.864878	0.892593	0       	0.0623591	19.8782	20 	14 	0.514296 
173	65.0494	0.864611	0.892593	0       	0.0690711	19.7938	20 	1  	1.12586  
174	65.1941	0.872626	0.892593	0.688889	0.0354178	19.8667	20 	18 	0.48074  
